"acc","sample_name","num_virus_species"
"SRR24705013","EBT_49","55"
"SRR24705012","EBT_50","56"
"SRR24705008","EBT_54","85"
"SRR24705006","EBT_55","14"
"SRR24705677","EBT_56","24"
"SRR24705676","EBT_58","23"
"SRR24705675","EBT_62","63"
"SRR24705674","EBT_64","69"
"SRR24705673","EBT_71","85"
"SRR24705672","EBU_33","104"
"SRR24705671","EBU_46","40"
"SRR24705670","EBU_47","89"
"SRR24705669","EBU_48","54"
"SRR24705666","EBU_49","90"
"SRR24705665","EBU_50","49"
"SRR24705664","EBU_51","24"
"SRR24705663","EBU_52","41"
"SRR24705662","EBU_53","31"
"SRR24705501","EBU_54","33"
"SRR24705500","EBU_55","73"
"SRR24705499","EBU_56","62"
"SRR24705498","EBU_58","51"
"SRR24705497","EBU_61","88"
"SRR24705495","EBU_64","43"
"SRR24705494","EBU_71","50"
"SRR24705493","EBW_60","94"
"SRR24705492","EBW_73","77"
"SRR24705491","EBW_74","42"
"SRR24705490","EBW_75","49"
"SRR24705489","EBW_76","93"
"SRR24705484","EBW_80","73"
